Customer ID,Recency,Frequency,Monetary,AverageOrderValue,TotalQuantity,UniqueProducts,CustomerLifetime,AveragePurchaseGap,Churn
14646,1,73,280206.02,134.97399807321773,196915,700,353,0.1585542168674698,0
18102,0,60,259657.3,602.45313225058,64124,150,366,0.8232558139534883,0
17450,7,46,194390.79,578.5440178571429,69973,124,359,1.035820895522388,0
16446,0,2,168472.5,56157.5,80997,3,204,102.0,0
14911,0,201,143711.17,25.345885361552032,80240,1787,372,0.0518609984124184,0
12415,23,21,124914.53,174.95032212885152,77374,444,313,0.4249649368863955,0
14156,9,55,117210.08,84.02156272401434,57768,714,361,0.2446197991391678,0
17511,2,31,91062.38,94.5611422637591,64549,453,370,0.3700623700623701,0
16029,38,63,80850.84,335.4806639004149,40108,44,335,1.3166666666666669,0
12346,325,1,77183.6,77183.6,74215,1,0,0.0,1
